id	page_id	batch_id	ocr_text_path	ocr_xml_path	ocr_completed	juxta_change_index	alt_change_index	noisiness_idx
2272838	2350151	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/37.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/37.xml	2014-12-14 14:18:30	0.818	0.652	NULL
2272844	2325087	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/14.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/14.xml	2014-12-14 14:18:32	0.861	0.724	NULL
2272845	2179375	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/8.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/8.xml	2014-12-14 14:18:33	0.878	0.809	NULL
2272846	2350132	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/18.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/18.xml	2014-12-14 14:18:34	0.810	0.642	NULL
2272853	2325200	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/127.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/127.xml	2014-12-14 14:18:39	0.798	0.677	NULL
2272858	2345501	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/25.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/25.xml	2014-12-14 14:18:44	0.845	0.748	NULL
2272860	2350150	1034	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/36.txt	/data/shared/text-xml/IDHMC-ocr/347/347385/1034/36.xml	2014-12-14 14:18:47	0.812	0.662	NULL
2272862	2325142	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/69.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/69.xml	2014-12-14 14:18:48	0.868	0.800	NULL
2272863	2325106	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/33.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/33.xml	2014-12-14 14:18:49	0.802	0.681	NULL
2272864	2179374	1034	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/7.txt	/data/shared/text-xml/IDHMC-ocr/152/152141/1034/7.xml	2014-12-14 14:18:50	0.899	0.863	NULL
2272866	2345482	1034	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/6.txt	/data/shared/text-xml/IDHMC-ocr/341/340961/1034/6.xml	2014-12-14 14:18:50	0.783	0.668	NULL
2272867	2325124	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/51.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/51.xml	2014-12-14 14:18:51	0.786	0.603	NULL
2272869	2325162	1034	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/89.txt	/data/shared/text-xml/IDHMC-ocr/324/324442/1034/89.xml	2014-12-14 14:18:53	0.716	0.526	NULL
